type,lease_type,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,water_supply,building_type,balconies,AC,CLUB,CPA,FS,GP,GYM,HK,INTERCOM,INTERNET,LIFT,PARK,PB,POOL,RWH,SC,SECURITY,SERVANT,STP,VP,deposit,rent
BHK2,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,1000,5,2,S,2,2,2,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220000,22000
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,1218,20,3,W,2,0,1,CORPORATION,IH,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,200000,20000
BHK3,FAMILY,0,SEMI_FURNISHED,BOTH,1820,5,3,E,3,4,9,CORPORATION,AP,2,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,250000,38000
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,1100,5,2,E,2,4,4,BOREWELL,AP,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,300000,30000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1475,0,2,E,2,1,9,CORP_BORE,AP,2,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,150000,26500
BHK2,FAMILY,1,FULLY_FURNISHED,NONE,1180,6,2,N,2,1,4,CORP_BORE,AP,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,175000,30000
BHK3,FAMILY,0,SEMI_FURNISHED,BOTH,2600,5,4,W,6,0,2,BOREWELL,GC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,216000,35500
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,900,15,2,W,2,0,3,CORP_BORE,AP,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,150000,15000
BHK1,FAMILY,0,SEMI_FURNISHED,NONE,400,5,1,E,1,1,3,CORPORATION,IH,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,50000,11000
BHK2,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,720,10,1,E,2,1,2,CORPORATION,IF,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60000,14000
BHK2,ANYONE,0,SEMI_FURNISHED,BOTH,1240,5,2,N,2,3,4,CORP_BORE,AP,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,150000,26000
BHK2,FAMILY,0,SEMI_FURNISHED,BOTH,800,40,2,E,2,0,0,BOREWELL,IH,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,72000,12000
